2026-01-09 17:49:28 | INFO     | extract | Starting extraction for 2 movies...
2026-01-09 17:49:28 | INFO     | extract | Processing movie 1/2 (ID: 299534)
2026-01-09 17:49:29 | INFO     | extract | ✓ Successfully extracted: Avengers: Endgame
2026-01-09 17:49:30 | INFO     | extract | Processing movie 2/2 (ID: 19995)
2026-01-09 17:49:31 | INFO     | extract | ✓ Successfully extracted: Avatar
2026-01-09 17:49:31 | INFO     | extract | Extraction complete! Success: 2, Failed: 0
2026-01-09 17:49:31 | INFO     | extract | DataFrame shape: (2, 30)
2026-01-09 17:49:44 | INFO     | extract | Starting extraction for 2 movies...
2026-01-09 17:49:44 | INFO     | extract | Processing movie 1/2 (ID: 299534)
2026-01-09 17:49:46 | INFO     | extract | ✓ Successfully extracted: Avengers: Endgame
2026-01-09 17:49:46 | INFO     | extract | Processing movie 2/2 (ID: 19995)
2026-01-09 17:49:47 | INFO     | extract | ✓ Successfully extracted: Avatar
2026-01-09 17:49:47 | INFO     | extract | Extraction complete! Success: 2, Failed: 0
2026-01-09 17:49:47 | INFO     | extract | DataFrame shape: (2, 30)
2026-01-09 17:49:47 | INFO     | transform | Starting transformation on 2 rows...
2026-01-09 17:49:47 | INFO     | transform | Dropping columns: ['adult', 'imdb_id', 'original_title', 'video', 'homepage']
2026-01-09 17:49:47 | INFO     | transform | Parsing JSON-like columns...
2026-01-09 17:50:53 | INFO     | extract | Starting extraction for 3 movies...
2026-01-09 17:50:53 | INFO     | extract | Processing movie 1/3 (ID: 299534)
2026-01-09 17:50:55 | INFO     | extract | ✓ Successfully extracted: Avengers: Endgame
2026-01-09 17:50:55 | INFO     | extract | Processing movie 2/3 (ID: 19995)
2026-01-09 17:50:57 | INFO     | extract | ✓ Successfully extracted: Avatar
2026-01-09 17:50:57 | INFO     | extract | Processing movie 3/3 (ID: 597)
2026-01-09 17:50:59 | INFO     | extract | ✓ Successfully extracted: Titanic
2026-01-09 17:50:59 | INFO     | extract | Extraction complete! Success: 3, Failed: 0
2026-01-09 17:50:59 | INFO     | extract | DataFrame shape: (3, 30)
2026-01-09 17:50:59 | INFO     | load | Saving raw data to data/raw\movies_raw.csv...
2026-01-09 17:50:59 | INFO     | load | ✓ Saved 3 rows to data/raw\movies_raw.csv
2026-01-09 17:50:59 | INFO     | transform | Starting transformation on 3 rows...
2026-01-09 17:50:59 | INFO     | transform | Dropping columns: ['adult', 'imdb_id', 'original_title', 'video', 'homepage']
2026-01-09 17:50:59 | INFO     | transform | Parsing JSON-like columns...
2026-01-09 17:50:59 | INFO     | transform | JSON column parsing complete
2026-01-09 17:50:59 | INFO     | transform | Converting data types...
2026-01-09 17:50:59 | INFO     | transform | Data type conversion complete
2026-01-09 17:50:59 | INFO     | transform | Handling missing values...
2026-01-09 17:50:59 | INFO     | transform | Missing value handling complete
2026-01-09 17:50:59 | INFO     | transform | Removing duplicates and invalid rows...
2026-01-09 17:50:59 | INFO     | transform | Filtering rows with at least 10 non-NaN values...
2026-01-09 17:50:59 | INFO     | transform | Filtering to released movies only...
2026-01-09 17:50:59 | INFO     | transform | Reordering columns...
2026-01-09 17:50:59 | INFO     | transform | Transformation complete! Final shape: (3, 24)
2026-01-09 17:50:59 | INFO     | transform | Columns: ['id', 'title', 'tagline', 'release_date', 'genres', 'belongs_to_collection', 'original_language', 'budget_musd', 'revenue_musd', 'production_companies', 'production_countries', 'vote_count', 'vote_average', 'popularity', 'runtime', 'overview', 'spoken_languages', 'poster_path', 'cast', 'cast_size', 'director', 'crew_size', 'backdrop_path', 'origin_country']
2026-01-09 17:50:59 | INFO     | load | Saving processed data to data/processed\movies_clean.csv...
2026-01-09 17:50:59 | INFO     | load | ✓ Saved 3 rows to data/processed\movies_clean.csv
2026-01-09 17:50:59 | INFO     | analysis | Calculating best/worst movie rankings...
2026-01-09 17:50:59 | INFO     | analysis | Generated 12 ranking categories
2026-01-09 17:50:59 | INFO     | analysis | Comparing franchise vs standalone movies...
2026-01-09 17:50:59 | INFO     | analysis | Franchise vs Standalone comparison complete
2026-01-09 17:50:59 | INFO     | visualize | Creating all visualizations...
2026-01-09 17:50:59 | INFO     | visualize | Creating Revenue vs Budget plot...
2026-01-09 17:51:01 | INFO     | visualize | ✓ Saved: visualizations\revenue_vs_budget.png
2026-01-09 17:51:01 | INFO     | visualize | Creating ROI by Genre plot...
2026-01-09 17:51:01 | INFO     | visualize | ✓ Saved: visualizations\roi_by_genre.png
2026-01-09 17:51:01 | INFO     | visualize | Creating Popularity vs Rating plot...
2026-01-09 17:51:01 | INFO     | visualize | ✓ Saved: visualizations\popularity_vs_rating.png
2026-01-09 17:51:01 | INFO     | visualize | Creating Yearly Trends plot...
2026-01-09 17:51:02 | INFO     | visualize | ✓ Saved: visualizations\yearly_trends.png
2026-01-09 17:51:02 | INFO     | visualize | Creating Franchise vs Standalone comparison plot...
2026-01-09 17:51:02 | INFO     | analysis | Comparing franchise vs standalone movies...
2026-01-09 17:51:02 | INFO     | analysis | Franchise vs Standalone comparison complete
2026-01-09 17:51:02 | INFO     | visualize | ✓ Saved: visualizations\franchise_comparison.png
2026-01-09 17:51:02 | INFO     | visualize | Created 5 visualizations
2026-01-09 18:22:18 | INFO     | extract | Starting extraction for 19 movies...
2026-01-09 18:22:18 | INFO     | extract | Processing movie 1/19 (ID: 0)
2026-01-09 18:22:19 | WARNING  | extract | Movie ID 0 not found (404)
2026-01-09 18:22:19 | INFO     | extract | Processing movie 2/19 (ID: 299534)
2026-01-09 18:22:21 | INFO     | extract | ✓ Successfully extracted: Avengers: Endgame
2026-01-09 18:22:21 | INFO     | extract | Processing movie 3/19 (ID: 19995)
2026-01-09 18:22:23 | INFO     | extract | ✓ Successfully extracted: Avatar
2026-01-09 18:22:23 | INFO     | extract | Processing movie 4/19 (ID: 140607)
2026-01-09 18:22:25 | INFO     | extract | ✓ Successfully extracted: Star Wars: The Force Awakens
2026-01-09 18:22:25 | INFO     | extract | Processing movie 5/19 (ID: 299536)
2026-01-09 18:22:27 | INFO     | extract | ✓ Successfully extracted: Avengers: Infinity War
